"feature","ERR11865846_humann_input_Abundance-RPKs"
"K21572",0.000433506
"K02914",0.000416219
"K02913",0.000309533
"K03088",0.000289102
"K02004",0.000165906
"K02907",0.000162161
"K02878",0.000157483
"K02078",0.000144965
"K02950",0.000140517
"K02911",0.000139471
"K02965",0.000139412
"K02946",0.000133379
"K02948",0.000129787
"K02904",0.000119543
"K03497",0.000115088
"K02518",0.000111052
"K02355",0.00010989
"K00262",0.000108998
"K02916",0.000108406
"K02992",0.00010767
"K07085",0.000106798
"K02564",0.000101594
"K02996",0.000100546
"K02899",9.75956e-05
"K02954",9.70777e-05
"K02902",9.62234e-05
"K02874",9.50144e-05
"K02003",9.10602e-05
"K02970",9.08006e-05
"K02909",9.0796e-05
