#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/jgarrote730/miniforge3/envs/env_perfect/bin/metaphlan /home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_1_kneaddata_paired_1.fastq,/home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_bowtie2.bz2 -o /home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_metaphlan_profile.txt
#88381796 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	54.69484	
k__Bacteria|p__Bacteroidota	2|976	44.33351	
k__Bacteria|p__Actinomycetota	2|201174	0.77073	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.13096	
k__Bacteria|p__Bacteria_unclassified	2|	0.0507	
k__Bacteria|p__Pseudomonadota	2|1224	0.01095	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.00567	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00264	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	43.66502	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.57791	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	15.64835	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.66934	
k__Bacteria|p__Bacteroidota|c__CFGB95179	2|976|	0.41411	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.18019	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.13378	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.13096	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.09993	
k__Bacteria|p__Bacteroidota|c__CFGB56395	2|976|	0.0992	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.07964	
k__Bacteria|p__Bacteroidota|c__CFGB87848	2|976|	0.05343	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0507	
