"feature","ERR11865921_humann_input_Abundance"
"PWY-7238: sucrose biosynthesis II",0.000635701
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.000564932
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.000553137
"PWY-5941: glycogen degradation II",0.00053899
"PWY-1042: glycolysis IV",0.000525059
"VALSYN-PWY: L-valine biosynthesis",0.000524875
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.000498204
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.0004545
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.000454062
"PWY-5667: CDP-diacylglycerol biosynthesis I",0.000451235
"PWY0-1319: CDP-diacylglycerol biosynthesis II",0.000451235
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.000450845
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.000447957
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.000446463
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000445359
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.000443707
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.000443466
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.000443086
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.000442793
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.000436716
