"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",40.54609,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",37.40351,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",10.64823,"","phylum","Pseudomonadota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",7.65905,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Actinomycetota","2|201174",3.05559,"","phylum","Actinomycetota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.46318,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.18902,"","phylum","Fusobacteriota"
"k__Bacteria|p__Candidatus_Saccharibacteria","2|95818",0.02481,"","phylum","Candidatus_Saccharibacteria"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00815,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Synergistota","2|508458",0.0022,"","phylum","Synergistota"
"k__Bacteria|p__Myxococcota","2|2818505",0.00016,"","phylum","Myxococcota"
