#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/humann2/miniforge3/envs/env_perfect/bin/metaphlan /home/humann2/tfg_ckd/cleaned_data/ERR11866308_knead/ERR11866308_1_kneaddata_paired_1.fastq,/home/humann2/tfg_ckd/cleaned_data/ERR11866308_knead/ERR11866308_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/humann2/tfg_ckd/cleaned_data/ERR11866308_knead/ERR11866308_bowtie2.bz2 -o /home/humann2/tfg_ckd/cleaned_data/ERR11866308_knead/ERR11866308_metaphlan_profile.txt
#87919916 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.99695	
k__Eukaryota	2759	0.00305	
k__Bacteria|p__Firmicutes	2|1239	99.22585	
k__Bacteria|p__Actinomycetota	2|201174	0.4913	
k__Bacteria|p__Pseudomonadota	2|1224	0.14666	
k__Bacteria|p__Bacteroidota	2|976	0.06606	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.049	
k__Bacteria|p__Fusobacteriota	2|32066	0.00842	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.00758	
k__Eukaryota|p__Ascomycota	2759|4890	0.00305	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.00208	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.97087	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	17.47208	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.49278	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.73889	
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	0.31855	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.28539	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.20573	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.15906	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.0891	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.06429	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.04801	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.03762	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.03604	
k__Bacteria|p__Firmicutes|c__CFGB49681	2|1239|	0.01194	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.00956	
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia	2|32066|203490	0.00842	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	0.00758	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.00742	
k__Bacteria|p__Firmicutes|c__CFGB93799	2|1239|	0.00697	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355	2|95818|	0.00554	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00483	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.00316	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.00305	
k__Bacteria|p__Firmicutes|c__CFGB1448	2|1239|	0.00292	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.00244	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.00208	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.00178	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.00145	
k__Bacteria|p__Firmicutes|c__CFGB78886	2|1239|	0.00098	
k__Bacteria|p__Firmicutes|c__CFGB88546	2|1239|	0.0006	
k__Bacteria|p__Firmicutes|c__CFGB54835	2|1239|	0.00022	
k__Bacteria|p__Firmicutes|c__CFGB84496	2|1239|	0.00019	
k__Bacteria|p__Firmicutes|c__CFGB49375	2|1239|	0.00017	
k__Bacteria|p__Actinomycetota|c__CFGB9429	2|201174|	0.00012	
k__Bacteria|p__Actinomycetota|c__CFGB5815	2|201174|	6e-05	
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	6e-05	
k__Bacteria|p__Firmicutes|c__CFGB40326	2|1239|	5e-05	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	65.73959	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	17.47208	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	11.49253	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.73803	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.22994	
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	2|1239||	0.31855	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.24445	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.15906	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.09562	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.08793	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.06429	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	0.05848	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	2|201174|1760|2037	0.0488	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.04385	
