"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000329642
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000282833
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000241102
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.00023303
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000232085
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000230498
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000221987
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000209666
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000155566
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000152028
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000139563
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.000112604
"pathway","PWY-6305: superpathway of putrescine biosynthesis",0.000101562
"pathway","PWY-6803: phosphatidylcholine acyl editing",9.19907e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",8.37883e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",8.35512e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",4.59797e-05
"pathway","PWY-4984: urea cycle",3.4355e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",2.91594e-05
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",1.83763e-05
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",1.83763e-05
"pathway","CARNMET-PWY: L-carnitine degradation I",1.206e-05
"pathway","PWY-6562: norspermidine biosynthesis",9.06485e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",7.9323e-06
