#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/humann2/miniforge3/envs/env_perfect/bin/metaphlan /home/humann2/tfg_ckd/cleaned_data/ERR11869018_knead/ERR11869018_1_kneaddata_paired_1.fastq,/home/humann2/tfg_ckd/cleaned_data/ERR11869018_knead/ERR11869018_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/humann2/tfg_ckd/cleaned_data/ERR11869018_knead/ERR11869018_bowtie2.bz2 -o /home/humann2/tfg_ckd/cleaned_data/ERR11869018_knead/ERR11869018_metaphlan_profile.txt
#15823790 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidota	2|976	73.59796	
k__Bacteria|p__Firmicutes	2|1239	23.41464	
k__Bacteria|p__Pseudomonadota	2|1224	2.03859	
k__Bacteria|p__Actinomycetota	2|201174	0.73105	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.19823	
k__Bacteria|p__Fusobacteriota	2|32066	0.01775	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.00178	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	72.2203	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.01402	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.44658	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.10684	
k__Bacteria|p__Bacteroidota|c__CFGB95179	2|976|	0.87273	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.60631	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.59201	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.26316	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.19823	
k__Bacteria|p__Bacteroidota|c__CFGB56395	2|976|	0.16585	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.12474	
k__Bacteria|p__Bacteroidota|c__CFGB77894	2|976|	0.09356	
k__Bacteria|p__Bacteroidota|c__CFGB87848	2|976|	0.08675	
k__Bacteria|p__Bacteroidota|c__CFGB594	2|976|	0.06872	
k__Bacteria|p__Bacteroidota|c__CFGB1371	2|976|	0.03119	
k__Bacteria|p__Bacteroidota|c__CFGB93979	2|976|	0.01919	
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia	2|32066|203490	0.01775	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.01164	
k__Bacteria|p__Bacteroidota|c__CFGB7509	2|976|	0.01059	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.00883	
k__Bacteria|p__Firmicutes|c__CFGB77385	2|1239|	0.00762	
k__Bacteria|p__Bacteroidota|c__CFGB35473	2|976|	0.00628	
k__Bacteria|p__Bacteroidota|c__CFGB18812	2|976|	0.00476	
k__Bacteria|p__Bacteroidota|c__CFGB95176	2|976|	0.00298	
k__Bacteria|p__Bacteroidota|c__CFGB27949	2|976|	0.0029	
k__Bacteria|p__Bacteroidota|c__CFGB95139	2|976|	0.00256	
k__Bacteria|p__Bacteroidota|c__CFGB77697	2|976|	0.00234	
k__Bacteria|p__Verrucomicrobiota|c__CFGB90523	2|74201|	0.00178	
k__Bacteria|p__Bacteroidota|c__CFGB87904	2|976|	0.00171	
k__Bacteria|p__Bacteroidota|c__CFGB87903	2|976|	0.00152	
