"feature","ERR11869141_humann_input_Abundance"
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.000690344
"PWY-1042: glycolysis IV",0.000665476
"VALSYN-PWY: L-valine biosynthesis",0.000655591
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",0.000635695
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000635684
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000627429
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.00061549
"PWY-6609: adenine and adenosine salvage III",0.000614573
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.000605822
"ARO-PWY: chorismate biosynthesis I",0.000601561
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.000596173
"PWY-7238: sucrose biosynthesis II",0.000582251
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.000574375
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.000574375
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.000566695
"PWY-5686: UMP biosynthesis I",0.000559302
"PWY-7790: UMP biosynthesis II",0.000559302
"PWY-7791: UMP biosynthesis III",0.000559302
"NONMEVIPP-PWY: methylerythritol phosphate pathway I",0.000556153
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000548807
