"feature","ERR11869143_humann_input_Abundance-RPKs"
"K21572",0.000272638
"K03088",0.000248306
"K02913",0.000161904
"K02914",0.000142448
"K02911",9.77574e-05
"K02965",8.56754e-05
"K02907",8.17811e-05
"K02904",8.09392e-05
"K02004",7.65411e-05
"K02078",6.49203e-05
"K02902",6.48219e-05
"K02948",6.47988e-05
"K02878",6.40983e-05
"K02892",6.34126e-05
"K02518",6.10572e-05
"K02970",6.02657e-05
"K01990",5.7863e-05
"K02954",5.77772e-05
"K02950",5.77105e-05
"K02946",5.68355e-05
"K02906",5.58357e-05
"K02992",5.5329e-05
"K02110",5.25925e-05
"K02916",5.23906e-05
"K02968",5.23838e-05
"K02963",5.21312e-05
"K02899",5.21005e-05
"K02939",5.16114e-05
"K02874",5.01219e-05
"K07133",4.97904e-05
