#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/jgarrote730/miniforge3/envs/env_perfect/bin/metaphlan /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869182_knead/ERR11869182_1_kneaddata_paired_1.fastq,/home/jgarrote730/tfg_ckd/cleaned_data/ERR11869182_knead/ERR11869182_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869182_knead/ERR11869182_bowtie2.bz2 -o /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869182_knead/ERR11869182_metaphlan_profile.txt
#12903574 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidota	2|976	53.08411	
k__Bacteria|p__Firmicutes	2|1239	43.723	
k__Bacteria|p__Verrucomicrobiota	2|74201	1.48205	
k__Bacteria|p__Actinomycetota	2|201174	1.23285	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.31134	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.15024	
k__Bacteria|p__Pseudomonadota	2|1224	0.01441	
k__Bacteria|p__Synergistota	2|508458	0.00201	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	52.94688	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.70597	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	8.39949	
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	5.92142	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.74376	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.51748	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	1.48205	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.80454	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.42832	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.31134	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.15633	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.15024	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.11388	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.07911	
k__Bacteria|p__Bacteroidota|c__CFGB95179	2|976|	0.0687	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.04125	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03884	
k__Bacteria|p__Bacteroidota|c__CFGB77894	2|976|	0.0139	
k__Bacteria|p__Bacteroidota|c__CFGB56395	2|976|	0.01233	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.01117	
k__Bacteria|p__Bacteroidota|c__CFGB87848	2|976|	0.00941	
k__Bacteria|p__Bacteroidota|c__CFGB87904	2|976|	0.00667	
k__Bacteria|p__Bacteroidota|c__CFGB594	2|976|	0.00561	
k__Bacteria|p__Bacteroidota|c__CFGB14953	2|976|	0.00422	
k__Bacteria|p__Bacteroidota|c__CFGB1371	2|976|	0.00334	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.00324	
k__Bacteria|p__Bacteroidota|c__CFGB77697	2|976|	0.00295	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.0029	
k__Bacteria|p__Bacteroidota|c__CFGB37155	2|976|	0.00228	
k__Bacteria|p__Firmicutes|c__CFGB48199	2|1239|	0.00204	
k__Bacteria|p__Synergistota|c__Synergistia	2|508458|649775	0.00201	
k__Bacteria|p__Bacteroidota|c__CFGB93979	2|976|	0.00182	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.00119	
k__Bacteria|p__Bacteroidota|c__CFGB77696	2|976|	0.00115	
k__Bacteria|p__Firmicutes|c__CFGB1349	2|1239|	0.00099	
k__Bacteria|p__Bacteroidota|c__CFGB87903	2|976|	0.00081	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00079	
k__Bacteria|p__Bacteroidota|c__CFGB5778	2|976|	0.00066	
k__Bacteria|p__Bacteroidota|c__CFGB35473	2|976|	0.00048	
k__Bacteria|p__Firmicutes|c__CFGB93799	2|1239|	0.00035	
k__Bacteria|p__Firmicutes|c__CFGB84496	2|1239|	0.0001	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	52.94688	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	13.63081	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	12.00931	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	8.39949	
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	2|1239||	5.92142	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.51748	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	2|74201|203494|48461	1.48205	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.21893	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	0.78408	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.52483	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.31134	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.22929	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.19903	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.15633	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.15024	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.11388	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.07911	
k__Bacteria|p__Bacteroidota|c__CFGB95179|o__OFGB95179	2|976||	0.0687	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales	2|1239|186801|3082768	0.06584	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.04125	
