"feature","ERR11869417_humann_input_Abundance"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000344547
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000340791
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000323619
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000295624
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000244921
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000229815
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000222459
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000187854
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000164604
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000137051
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000134516
"PWY-4984: urea cycle",0.000110254
"PWY-6305: superpathway of putrescine biosynthesis",7.693e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",5.37212e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",2.91574e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.50457e-05
"PWY-6803: phosphatidylcholine acyl editing",1.02373e-05
"ORNDEG-PWY: superpathway of ornithine degradation",1.01178e-05
"AST-PWY: L-arginine degradation II (AST pathway)",5.75589e-06
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",3.68394e-06
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.51831e-06
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",2.51831e-06
"PWY0-1221: putrescine degradation II",8.28107e-07
