"feature","ERR11869426_humann_input_Abundance"
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.000622884
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.00045459
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",0.000419171
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.000405097
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.000404994
"PWY-7977: L-methionine biosynthesis IV",0.000404781
"PWY-7237: myo-, chiro- and scyllo-inositol degradation",0.000403415
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000401875
"PWY-5686: UMP biosynthesis I",0.000399391
"PWY-7790: UMP biosynthesis II",0.000399391
"PWY-7791: UMP biosynthesis III",0.000399391
"NONMEVIPP-PWY: methylerythritol phosphate pathway I",0.000398696
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.000393103
"PWY-5695: inosine 5'-phosphate degradation",0.000392004
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.000390516
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.000389701
"PWY-3841: folate transformations II (plants)",0.000388626
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.000388556
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.000381581
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000381407
