"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000550159
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000495941
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000462091
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000448208
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000443327
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000379407
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000296357
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000213882
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000142301
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000140862
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000132861
"pathway","PWY-4984: urea cycle",9.305e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",8.03085e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",6.63061e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",5.39186e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",4.54706e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",3.45003e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",1.33068e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",1.23685e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",6.39102e-06
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",5.87417e-06
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",5.87417e-06
"pathway","PWY0-1221: putrescine degradation II",2.65203e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.90808e-06
