"feature","ERR11869463_humann_input_Abundance-RPKs"
"K02913",0.0012569
"K02914",0.000652806
"K21572",0.000556218
"K03088",0.000474975
"K02004",0.000202824
"K02911",0.000188768
"K02003",0.000174116
"K02907",0.000168764
"K02970",0.000168164
"K07085",0.00014527
"K02954",0.000143676
"K02946",0.00014239
"K02874",0.000134896
"K02355",0.000132836
"K00262",0.000131556
"K02965",0.000128174
"K02887",0.000127864
"K02948",0.000126948
"K02950",0.000126906
"K02904",0.000125704
"K02992",0.00011912
"K02518",0.000113769
"K00850",0.000107854
"K02906",0.000107724
"K03073",0.000107125
"K07133",0.000100596
"K00566",9.94915e-05
"K02078",9.82253e-05
"K01990",9.80024e-05
"K02005",9.72207e-05
