#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/jgarrote730/miniforge3/envs/env_perfect/bin/metaphlan /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869463_knead/ERR11869463_1_kneaddata_paired_1.fastq,/home/jgarrote730/tfg_ckd/cleaned_data/ERR11869463_knead/ERR11869463_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869463_knead/ERR11869463_bowtie2.bz2 -o /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869463_knead/ERR11869463_metaphlan_profile.txt
#13630108 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidota	2|976	64.31462	
k__Bacteria|p__Firmicutes	2|1239	32.50186	
k__Bacteria|p__Pseudomonadota	2|1224	1.91984	
k__Bacteria|p__Actinomycetota	2|201174	0.97106	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.16007	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.13139	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.00115	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	63.61767	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	29.41602	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.91984	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.86814	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.97106	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	0.63549	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.40977	
k__Bacteria|p__Bacteroidota|c__CFGB56395	2|976|	0.29854	
k__Bacteria|p__Bacteroidota|c__CFGB95179	2|976|	0.18194	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.16007	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106	2|1798710|	0.13139	
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.11452	
k__Bacteria|p__Bacteroidota|c__CFGB77894	2|976|	0.0596	
k__Bacteria|p__Bacteroidota|c__CFGB87848	2|976|	0.05148	
k__Bacteria|p__Bacteroidota|c__CFGB594	2|976|	0.04644	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.03978	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.01063	
k__Bacteria|p__Bacteroidota|c__CFGB95139	2|976|	0.0106	
k__Bacteria|p__Bacteroidota|c__CFGB1371	2|976|	0.00873	
k__Bacteria|p__Bacteroidota|c__CFGB93979	2|976|	0.00717	
k__Bacteria|p__Bacteroidota|c__CFGB27949	2|976|	0.00492	
k__Bacteria|p__Bacteroidota|c__CFGB35473	2|976|	0.00491	
k__Bacteria|p__Bacteroidota|c__CFGB18812	2|976|	0.00403	
k__Bacteria|p__Bacteroidota|c__CFGB87904	2|976|	0.00386	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00329	
k__Bacteria|p__Bacteroidota|c__CFGB7509	2|976|	0.0027	
k__Bacteria|p__Firmicutes|c__CFGB9595	2|1239|	0.00269	
k__Bacteria|p__Bacteroidota|c__CFGB94501	2|976|	0.00195	
k__Bacteria|p__Bacteroidota|c__CFGB77696	2|976|	0.00178	
k__Bacteria|p__Bacteroidota|c__CFGB77697	2|976|	0.0016	
k__Bacteria|p__Firmicutes|c__CFGB93743	2|1239|	0.00144	
